1.29; 6569.413; 5397.754; -1968.887
1.3; 6569.325; 5397.743; -1969.895
1.31; 6569.243; 5397.735; -1970.962
1.32; 6569.196; 5397.734; -1971.992
1.33; 6569.29; 5397.744; -1970.967
1.34; 6569.372; 5397.752; -1969.882
1.35; 6569.459; 5397.762; -1968.875
1.36; 6569.545; 5397.77; -1967.835
1.37; 6569.614; 5397.777; -1966.824
1.38; 6569.664; 5397.776; -1965.752
1.39; 6569.69; 5397.771; -1964.74
1.4; 6569.603; 5397.767; -1965.768
1.41; 6569.509; 5397.757; -1966.781
1.42; 6569.416; 5397.746; -1967.869
1.43; 6569.343; 5397.741; -1968.926
1.44; 6569.291; 5397.739; -1969.964
1.45; 6569.251; 5397.74; -1970.974
1.46; 6569.209; 5397.739; -1972.01
1.47; 6569.348; 5397.756; -1970.98
1.48; 6569.441; 5397.767; -1969.931
1.49; 6569.507; 5397.772; -1968.904
1.5; 6569.56; 5397.772; -1967.826
1.51; 6569.604; 5397.772; -1966.797
1.52; 6569.655; 5397.773; -1965.763
1.53; 6569.702; 5397.777; -1964.755
1.54; 6569.527; 5397.751; -1965.808
1.55; 6569.451; 5397.746; -1966.86
1.56; 6569.398; 5397.745; -1967.894
1.57; 6569.344; 5397.744; -1968.961
1.58; 6569.29; 5397.74; -1969.964
1.59; 6569.23; 5397.735; -1970.982
1.6; 6569.198; 5397.734; -1972.013
1.61; 6569.392; 5397.763; -1970.96
1.62; 6569.454; 5397.766; -1969.875
1.63; 6569.512; 5397.769; -1968.859
1.64; 6569.575; 5397.774; -1967.835
1.65; 6569.64; 5397.779; -1966.775
1.66; 6569.683; 5397.78; -1965.718
1.67; 6569.646; 5397.765; -1964.716
1.68; 6569.52; 5397.751; -1965.723
1.69; 6569.453; 5397.748; -1966.727
1.7; 6569.38; 5397.741; -1967.793
1.71; 6569.311; 5397.735; -1968.8
1.72; 6569.253; 5397.731; -1969.876
1.73; 6569.227; 5397.733; -1970.921
1.74; 6569.246; 5397.744; -1971.942
1.75; 6569.408; 5397.764; -1970.897
1.76; 6569.492; 5397.774; -1969.886
1.77; 6569.567; 5397.781; -1968.822
1.78; 6569.616; 5397.783; -1967.802
1.79; 6569.643; 5397.779; -1966.716
1.8; 6569.646; 5397.771; -1965.646
1.81; 6569.4; 5397.736; -1966.691
1.82; 6569.335; 5397.732; -1967.742
1.83; 6569.297; 5397.733; -1968.774
1.84; 6569.276; 5397.737; -1969.786
1.85; 6569.262; 5397.742; -1970.844
1.86; 6569.258; 5397.746; -1971.863
1.87; 6569.473; 5397.778; -1970.855
1.88; 6569.533; 5397.782; -1969.812
1.89; 6569.569; 5397.781; -1968.808
1.9; 6569.594; 5397.778; -1967.777
1.91; 6569.62; 5397.774; -1966.726
1.92; 6569.64; 5397.772; -1965.724
1.93; 6569.383; 5397.734; -1966.713
1.94; 6569.345; 5397.736; -1967.78
1.95; 6569.311; 5397.738; -1968.786
1.96; 6569.276; 5397.737; -1969.835
1.97; 6569.255; 5397.739; -1970.897
1.98; 6569.296; 5397.752; -1971.902
1.99; 6569.475; 5397.777; -1970.874
2.0; 6569.522; 5397.779; -1969.858
