1; Spiegel; 1; 4.473052241858095; 4.708959617844031
1; IMU; 1; 2.891251544316204; 4.662324088618185
1; Spiegel; 2; 4.4730585250434025; 4.708958204127337
1; IMU; 2; 2.891247303166122; 4.662326916051573
1; Spiegel; 3; 4.473051299380299; 4.708964958551542
1; IMU; 3; 2.8912460465290604; 4.662320789945898
2; Spiegel; 1; 2.2828858968597254; 4.712055186165246
2; IMU; 1; 3.853583106406401; 4.651283589555675
2; Spiegel; 2; 2.282880084913316; 4.712055657404143
2; IMU; 2; 3.8535842059638292; 4.651290029820614
2; Spiegel; 3; 2.282884640222664; 4.7120627259876136
2; IMU; 3; 3.8535873475564832; 4.6512867311483275
